message_index,expected_payload,decoded_payload,payload_bits_scored,payload_bit_errors,fully_scored,message_correct,video
0,10110010110,????1??????,1,1,0,0,test.mp4
1,10110010110,?1?????????,1,1,0,0,test.mp4
2,10110010110,????????11?,2,0,0,0,test.mp4
3,10110010110,?????11????,2,1,0,0,test.mp4
4,10110010110,???1???????,1,0,0,0,test.mp4
5,10110010110,1?????????1,2,1,0,0,test.mp4
6,10110010110,???????1???,1,1,0,0,test.mp4
7,10110010110,????1??????,1,1,0,0,test.mp4
8,10110010110,?11????????,2,1,0,0,test.mp4
9,10110010110,????????11?,2,0,0,0,test.mp4
10,10110010110,??????1????,1,0,0,0,test.mp4
11,10110010110,???1???????,1,0,0,0,test.mp4
12,10110010110,1?????????1,2,1,0,0,test.mp4
13,10110010110,???????1???,1,1,0,0,test.mp4
14,10110010110,????11?????,2,2,0,0,test.mp4
15,10110010110,?01????????,2,0,0,0,test.mp4
16,10110010110,????????00?,2,2,0,0,test.mp4
17,10110010110,??????0????,1,1,0,0,test.mp4
18,10110010110,???0???????,1,1,0,0,test.mp4
19,10110010110,0?????????0,2,1,0,0,test.mp4
20,10110010110,???????00??,2,1,0,0,test.mp4
21,10110010110,????00?????,2,0,0,0,test.mp4
22,10110010110,?00????????,2,1,0,0,test.mp4
23,10110010110,???????????,0,0,0,0,test.mp4
24,10110010110,???????????,0,0,0,0,test.mp4
25,10110010110,???????????,0,0,0,0,test.mp4
26,10110010110,???????????,0,0,0,0,test.mp4
27,10110010110,???????????,0,0,0,0,test.mp4
28,10110010110,???????????,0,0,0,0,test.mp4
29,10110010110,???????????,0,0,0,0,test.mp4
30,10110010110,???????????,0,0,0,0,test.mp4
31,10110010110,???????????,0,0,0,0,test.mp4
32,10110010110,???????????,0,0,0,0,test.mp4
33,10110010110,???????????,0,0,0,0,test.mp4
34,10110010110,???????????,0,0,0,0,test.mp4
35,10110010110,???????????,0,0,0,0,test.mp4
36,10110010110,???????????,0,0,0,0,test.mp4
37,10110010110,???????????,0,0,0,0,test.mp4
38,10110010110,???????????,0,0,0,0,test.mp4
39,10110010110,???????????,0,0,0,0,test.mp4
40,10110010110,???????????,0,0,0,0,test.mp4
41,10110010110,???????????,0,0,0,0,test.mp4
42,10110010110,???????????,0,0,0,0,test.mp4
43,10110010110,???????????,0,0,0,0,test.mp4
44,10110010110,???????????,0,0,0,0,test.mp4
45,10110010110,???????????,0,0,0,0,test.mp4
46,10110010110,???????????,0,0,0,0,test.mp4
47,10110010110,???????????,0,0,0,0,test.mp4
48,10110010110,???????????,0,0,0,0,test.mp4
49,10110010110,???????????,0,0,0,0,test.mp4
50,10110010110,???????????,0,0,0,0,test.mp4
51,10110010110,???????????,0,0,0,0,test.mp4
52,10110010110,???????????,0,0,0,0,test.mp4
53,10110010110,???????????,0,0,0,0,test.mp4
54,10110010110,???????????,0,0,0,0,test.mp4
55,10110010110,???????????,0,0,0,0,test.mp4
56,10110010110,???????????,0,0,0,0,test.mp4
57,10110010110,???????????,0,0,0,0,test.mp4
58,10110010110,???????????,0,0,0,0,test.mp4
59,10110010110,???????????,0,0,0,0,test.mp4
60,10110010110,???????????,0,0,0,0,test.mp4
61,10110010110,???????????,0,0,0,0,test.mp4
62,10110010110,???????????,0,0,0,0,test.mp4
63,10110010110,???????????,0,0,0,0,test.mp4
64,10110010110,???????????,0,0,0,0,test.mp4
65,10110010110,???????????,0,0,0,0,test.mp4
66,10110010110,???????????,0,0,0,0,test.mp4
67,10110010110,???????????,0,0,0,0,test.mp4
